latitude,longitude,accuracy,speed,bearing,kf_latitude,kf_longitude,kf_speed_lat,kf_speed_long,kf_covariance_lat,kf_covariance_long,kf_speed_total,scan_id_label
42.649287,-71.3232905,6,0,0,-3.32341726001245e-15,0,0,0,0,0,0,333
42.6493942,-71.32349135,18,0,0,-3.32341726001245e-15,-71.3232905100699,0,0.013862824349883,0,1.44937741519966,0.013862824349883,333
42.64938821,-71.32348619,14,0,0,42.6492972931241,-71.3233227525568,0.547198538571083,-1.4764397756818,1.72759220717186,2.8974829911565,1.57457951588024,333
42.64938717,-71.32348217,12,0,0,42.6493206453977,-71.323377287209,1.35278835887196,-2.91681350619586,3.11021018130726,4.02120238725504,3.21525074820395,333
42.64937978,-71.32347509,12,0,0,42.6493491477965,-71.3234287360675,1.88507649089856,-3.58408524210824,3.96860855322392,4.33735930342823,4.04959015200755,333
42.64937091,-71.32346607,9,0,0,42.6493690205484,-71.3234628333525,1.87117082260142,-3.407857751013,4.27894122531027,4.31917720847122,3.88777245971189,333
42.64931462,-71.32343778,10,0.64,121.6999969,42.6493779698891,-71.3234796547905,1.63898546545945,-2.98107026545918,3.81922406846205,3.73805259110036,3.40191905894191,333
42.64933539,-71.32343747,8,0.86,123.1999969,42.6493636038023,-71.3234806213416,1.03976329606682,-2.47512945692202,3.62077720797753,3.50558373074954,2.68465519953137,333
42.64932635,-71.32341003,8,1.49,123.1999969,42.6493578547762,-71.3234765936842,0.750027485956619,-1.89432577504201,3.17071887228372,3.0790012060869,2.03740309504009,333
42.64932233,-71.32336255,6,1.62,105.1999969,42.6493509138025,-71.3234634282536,0.58240206177518,-1.19217356514274,2.90596395576892,2.8390966185592,1.32682703129878,333
42.64930692,-71.32332035,7,2.23,112.9000015,42.6493426232289,-71.3234284985317,0.465988181401528,-0.338023432328678,2.46784215717153,2.43232844225718,0.57567771018962,333
42.64928744,-71.32327872,4,2.19,89,42.6493339115066,-71.3233942321877,0.374741226203591,0.337809242956259,2.37963348129565,2.35974071243876,0.504525590275906,333
42.649292,-71.3232406,4,2.43,80.09999847,42.6493146599753,-71.3233386715907,-0.238175798494394,1.25203775106832,1.87362284340502,1.86804706793344,1.27449058101214,333
42.64929666,-71.32321708,3,2.13,65.09999847,42.6493050243617,-71.3232915740461,-0.656972262435548,1.84465903669836,1.66102977799784,1.66060869143084,1.95815717328375,333
42.64929888,-71.32320536,3,1.54,55.20000076,42.6492988247532,-71.3232484569773,-0.737134063201026,2.55826916136648,1.38925841986652,1.39035939573837,2.66235003880594,333
42.64930265,-71.32318979,3,1.46,44,42.6492956328274,-71.323217485054,-0.516404927994879,3.06812392871965,1.27879367037194,1.28001127230222,3.11127923716909,333
42.64932374,-71.32318348,3,1.76,32.29999924,42.6492962536731,-71.3231904936353,-0.289717158878375,3.08584520895507,1.23649051796553,1.23736233741916,3.09941553938473,333
42.64933163,-71.32316943,4,1.46,46,42.6493062656279,-71.3231716593335,0.20026467227165,2.67851477154155,1.22253535470361,1.22300516159183,2.68599093824353,333
42.64935499,-71.32317658,3,2.35,14.30000019,42.6493163592226,-71.3231554860857,0.432933218910581,2.18656095775198,1.35614648187143,1.35636654454793,2.22900874695492,333
42.64937611,-71.32318328,3,2.57,356.2000122,42.6493352775843,-71.3231532723305,0.704774008271974,1.5657871917132,1.28909094195801,1.28912361255257,1.71708937812475,333
42.64940029,-71.32319273,4,2.68,342.1000061,42.6493556845011,-71.3231571824955,1.14402159417481,0.907963764266207,1.24838180714202,1.24834738977139,1.46054222984436,333
42.64943136,-71.32321101,4,3.27,330.3999939,42.6493770524134,-71.323163323667,1.31526182150842,0.351841103488139,1.36535748897823,1.36530260702779,1.36150865631527,333
42.64945687,-71.32324644,3,3.83,310.8999939,42.6494031936149,-71.323177665565,1.57507788769841,0.0491255558456946,1.44259859868917,1.44255312421812,1.57584379700326,333
42.64947942,-71.32328677,3,4.33,305.5,42.6494333281665,-71.3232069435839,1.97299390353561,-0.696088042028208,1.3215406863139,1.32151878104906,2.09218629802495,333
42.64950109,-71.32334346,3,4.85,302.2999878,42.6494612454846,-71.3232430641188,2.23372939749528,-1.42043444644527,1.2570199490963,1.25701162784144,2.64710805179594,333
42.64952802,-71.3234059,3,5.41,299.8999939,42.649487457301,-71.3232904413687,2.39285079941666,-2.2716954989973,1.22565927786054,1.22565793277111,3.29944470910387,333
42.64955686,-71.32346839,3,5.89,299.8999939,42.649514573196,-71.3233478403672,2.248847545253,-3.03003202648695,1.21265426878275,1.21265567474167,3.77338168799912,333
42.64958453,-71.32352762,3,5.84,301.2000122,42.649541480821,-71.3234108817615,2.17656265885743,-3.89047891197238,1.20856910367898,1.20857096791529,4.45794248195671,333
42.64961188,-71.32358472,4,5.76,302.2999878,42.6495683067249,-71.3234766494555,2.28759754283449,-4.75708271725792,1.20798101091639,1.20798240675242,5.27853563943793,333
42.64965358,-71.32364769,3,5.78,305.2000122,42.6495941399356,-71.3235386551587,2.40671600836521,-5.30724893459958,1.34354615541279,1.34354710797778,5.82744997393626,333
42.6496844,-71.32370859,3,6,304.1000061,42.6496296309192,-71.3236097753214,2.73757603880179,-5.91785624901494,1.28020987380523,1.28021023482806,6.52037921843713,333
42.64971402,-71.32377297,3,6.21,303.7999878,42.6496643619189,-71.3236789939879,2.88248462411838,-6.28064985197911,1.24188050009611,1.24188056709382,6.91051952977807,333
42.64974273,-71.3238421,4,6.44,300.7999878,42.6496974881288,-71.3237477632528,2.98063869339943,-6.50563920906572,1.22130312965629,1.221303081996,7.15594497876577,333
42.6497735,-71.32390377,3,6.51,301.6000061,42.6497276113395,-71.3238150233886,2.96913099439569,-6.59464310121774,1.34793997766435,1.34793989282249,7.23222348205031,333
42.64980433,-71.32396118,3,6.56,301.7000122,42.6497598089118,-71.3238837206345,2.97187290273252,-6.71309007526643,1.28027678674351,1.28027672902988,7.34149895516144,333
42.64983477,-71.32402896,3,6.51,300.2000122,42.6497912622952,-71.3239480264907,2.97735100964778,-6.6902612288803,1.241037845693,1.24103781494525,7.32285561412415,333
42.64986418,-71.32409245,3,6.48,300.1000061,42.6498222330963,-71.3240135567705,2.92025188290894,-6.85010487853295,1.22071494184135,1.22071493003737,7.44659706889893,333
