latitude,longitude,accuracy,speed,bearing,kf_latitude,kf_longitude,kf_speed_lat,kf_speed_long,kf_loc_covariance_long,kf_vel_covariance_long,kf_speed_total,scan_id_label
42.65005955,-71.3246594,4,1.44,298.7999878,-3.32341726001245e-15,0,0,0,0,0,0,3
42.65005112,-71.32466556,4,0.36,298.7999878,-3.32341726001245e-15,-71.324654836084,0,0.41716785566151,1.24502607367058,0.726342710997443,0.41716785566151,3
42.65005144,-71.32465894,4,0,0,42.6500498679135,-71.324657182095,-0.759754844147851,0.0342580076517049,1.62786265553473,0.481194932079748,0.760526813659051,3
42.6500484,-71.32466064,3,0,0,42.6500473821091,-71.3246578706269,-0.407200611514136,0.0322179049803658,1.75560907595576,0.333240767772861,0.408473170990225,3
42.65004639,-71.32466451,3,0,0,42.6500464970843,-71.3246586312875,-0.174538578773792,-0.414110529933649,1.49800601854756,0.236841405556664,0.4493898602353,3
42.65004575,-71.32466407,3,0,0,42.6500454942276,-71.3246634243136,0.116874207835912,0.0809188878261094,1.34431370052541,0.2030035211798,0.142152899598588,3
42.65004236,-71.32467163,3,0,0,42.6500459230786,-71.3246632545848,0.257299356459265,-0.0330827424357088,1.24946458855067,0.191060954298026,0.259417475666963,3
42.65004479,-71.32467512,3,0.64,298.7999878,42.6500453338439,-71.324666695679,0.455504264345606,-0.166200540126619,1.1931720481245,0.187429120096943,0.484878081970521,3
42.65005487,-71.324693,3,1.47,298.7999878,42.6500468108428,-71.3246706479345,0.247870809514376,-0.0155013112235612,1.1623079104708,0.186711601208555,0.248355045970405,3
42.65006431,-71.32471344,3,1.94,298.7999878,42.650049913667,-71.3246789154077,0.328497480111401,0.0651984932888443,1.14717382851671,0.186740580451042,0.334905117856798,3
42.65009003,-71.32471922,3,2.64,352.2000122,42.6500555949345,-71.3246912764016,0.280263816148298,0.112546458451659,1.14079921702989,0.186772330639841,0.302017403392615,3
42.65011749,-71.32471704,3,3.14,2.700000048,42.6500698770687,-71.324699414582,0.399769836870032,0.239869800203513,1.13866241839656,0.186663650431387,0.466211801138459,3
42.65015583,-71.32469192,3,4.12,24.20000076,42.6500901323951,-71.3247024210467,0.665793139712264,0.290268333452649,1.1382078399415,0.186470060473827,0.726316880082855,3
42.65019162,-71.32466196,3,5.01,33.79999924,42.6501196547066,-71.3246939117238,1.33495661823129,0.574713804969079,1.13821842182023,0.186270049962489,1.45341154879875,3
42.65022975,-71.32460798,3,5.98,43.70000076,42.6501555503565,-71.3246753892497,2.14745268449063,0.853625724279319,1.13824193192479,0.186109889378307,2.31089374686016,3
42.65027208,-71.32454355,3,6.82,46.40000153,42.6501972592803,-71.324641921008,2.95477325470904,1.4379404249588,1.13818386993597,0.18600201615674,3.28608546031209,3
42.65031435,-71.32447987,3,7.2,44.29999924,42.6502438327956,-71.3245934898499,3.54716141074879,2.1365850870756,1.13807366933108,0.185939134765492,4.14093587347344,3
42.65035563,-71.32441282,3,7.11,44.90000153,42.6502917122184,-71.3245358796274,3.94401881764815,3.25851899036823,1.13795740637253,0.185907333135624,5.11597795583143,3
42.65038902,-71.32436092,3,7.09,42.70000076,42.6503389816549,-71.3244694830492,4.1849119610546,4.32240581718128,1.1378631551104,0.185893681701099,6.01636768907789,3
42.65043009,-71.32430795,3,6.54,48.40000153,42.6503819079875,-71.3244033263507,4.2789631472472,4.99869200435166,1.13779908173651,0.185889027766037,6.58000359953313,3
42.65046415,-71.32425287,4,5.94,49.20000076,42.6504245911806,-71.3243396700534,4.40624744585004,5.35650133016243,1.13776142526025,0.185888018098964,6.93592986225292,3
42.65048914,-71.32420606,4,5.13,49.90000153,42.6504643058694,-71.3242802011079,4.34429048375922,5.47666081852672,1.26528759740648,0.196513287369023,6.99047019366127,3
42.65051496,-71.3241695,3,4.3,43.29999924,42.6504982443025,-71.3242240843225,4.18676891926838,5.55008882353436,1.3544233446053,0.200400404984121,6.95215937191264,3
42.65052732,-71.32414649,3,3.03,46.79999924,42.6505261261085,-71.3241742256706,3.80733395484177,5.3023751223031,1.25138609697184,0.189635906866329,6.52770815687328,3
42.65053041,-71.32413324,3,1.56,46.79999924,42.6505458404481,-71.3241372718505,3.40316543352635,4.98311862083114,1.19206738836314,0.186827682549846,6.03431903011621,3
42.65052924,-71.32413952,3,0,0,42.6505566395101,-71.3241117564719,2.90540905634129,4.62372498797246,1.16058963215632,0.186565805175849,5.46079065237544,3
42.65052972,-71.32414432,3,0,0,42.650559866458,-71.3241005996951,2.21045500322357,3.72162421468476,1.14580570861643,0.18678992627924,4.32857922609765,3
42.65052815,-71.32414702,3,0,0,42.6505588920543,-71.3240995655535,1.54389646282091,2.67384016242704,1.13999134137905,0.186869302087607,3.08756174061649,3
42.65053135,-71.32415033,3,0,0,42.6505545604375,-71.3241048756692,0.963389852325596,1.73577503849297,1.13830463877033,0.186744270391154,1.98520401768161,3
42.6505306,-71.32415219,3,0,0,42.6505503342043,-71.3241138762097,0.552607049385033,0.964310325560552,1.13811658146936,0.186518708698309,1.11142654053821,3
42.65052696,-71.32415956,3,0,0,42.650545470848,-71.3241238370153,0.249961652253166,0.397794058768689,1.13824525276648,0.186292190109314,0.469809472859797,3
42.65052924,-71.32416507,3,0,0,42.6505396307346,-71.3241355037092,0.0133777539172719,-0.0515451770251623,1.13829891402531,0.186116093788627,0.0532528832498898,3
42.65052957,-71.32417006,3,0,0,42.6505357568324,-71.3241469665495,-0.106939287030508,-0.362862595532697,1.13823207884086,0.186001017703212,0.378292577705827,3
42.65052969,-71.32417395,3,0,0,42.6505329059959,-71.324157445379,-0.161548743264365,-0.560860703847473,1.13810318478575,0.185936165134315,0.583663195319509,3
42.65053206,-71.3241734,3,0,0,42.6505309222655,-71.3241663693263,-0.174549953920594,-0.65032515627128,1.13797112547864,0.185904744114,0.673342776966492,3
42.65052694,-71.32416931,3,0,0,42.6505305231612,-71.3241721230782,-0.132589571826051,-0.624735910832183,1.13786723115088,0.185892104888945,0.638650884944453,3
42.65052531,-71.32416813,3,0,0,42.6505285372317,-71.3241740218883,-0.153507053840409,-0.496786948306037,1.13779870553947,0.185888324799408,0.519963159835374,3
42.65052494,-71.32416796,3,0,0,42.6505265824996,-71.3241741511319,-0.162047132249503,-0.349266452414216,1.13775975749483,0.185887846912156,0.385027697513179,3
42.65052537,-71.32416727,4,0,0,42.6505251710595,-71.324173464411,-0.132099805270239,-0.224119737042378,1.13774071506567,0.185888118060728,0.260153829655417,3
42.65052143,-71.32416981,4,0,0,42.6505245211856,-71.3241727276466,-0.122612290489426,-0.135822177542831,1.26527630105685,0.196513515176383,0.182979336788446,3
42.65051802,-71.3241709,4,0,0,42.6505228359857,-71.324172450392,-0.135776428713879,-0.0850764239950722,1.35441854714485,0.200400486472242,0.160228700656544,3
42.65051756,-71.32417214,4,0,0,42.6505204541422,-71.3241723369514,-0.165738637839391,-0.058551039024177,1.40669287933975,0.201434138215772,0.175776904750503,3
42.65051759,-71.32417321,4,0,0,42.650518584721,-71.3241725623994,-0.16980591371891,-0.04564039165074,1.43297285697668,0.201725768329216,0.175832572875298,3
42.65051422,-71.32417421,4,0,0,42.6505173774004,-71.3241730253798,-0.15595124665257,-0.0440595045730743,1.44424871833554,0.20205034330316,0.162055642529705,3
42.65051588,-71.32417212,4,0,0,42.6505154548862,-71.3241736733984,-0.163062875944782,-0.0503113744933789,1.44823068114976,0.202523675955153,0.170647988311601,3
42.65051618,-71.32417148,4,0,0,42.6505147965838,-71.3241733587783,-0.137397611152032,-0.0317961798602228,1.44931164238441,0.20304855667681,0.141028722620567,3
42.65051508,-71.32417261,4,0,0,42.6505146128764,-71.3241728355894,-0.104974199161761,-0.0103306147127231,1.44957371228998,0.203518568819942,0.10548129734695,3
42.65051501,-71.3241724,4,0,0,42.6505142596008,-71.3241728045026,-0.0868316985144749,-0.00779239572364793,1.44978868139437,0.203878414976471,0.0871806474971515,3
42.65051534,-71.32417411,4,0,0,42.6505140978348,-71.3241726944635,-0.0660999498129317,-0.00572113475067605,1.45011607894238,0.204121105510291,0.066347077916872,3
42.6505152,-71.32417362,4,0,0,42.6505142176343,-71.3241732346988,-0.0431395796154655,-0.0207407224800271,1.45050124256431,0.204267139651739,0.0478664903496443,3
42.65051525,-71.3241736,4,0,0,42.6505143594775,-71.324173477841,-0.0281417933090845,-0.0215007889476811,1.45086071641721,0.20434558227768,0.0354153138631293,3
42.65051512,-71.32417369,4,0,0,42.6505145446756,-71.324173630784,-0.0185782997558086,-0.0176681037630111,1.45114455251349,0.204382762687884,0.0256381573518302,3
42.65051501,-71.32417358,4,0,0,42.650514656783,-71.324173739998,-0.0049879740406326,-0.0161198392861767,1.45134096730021,0.204397876970652,0.0168739178509969,3
42.65051472,-71.32417333,4,0,0,42.650514759489,-71.32417376105,-3.93819825022729e-05,-0.0138434709508472,1.45146203213729,0.204402855504847,0.0138435269677743,3
42.65051458,-71.32417322,4,0,0,42.6505147402849,-71.3241736734369,0.00572528561183135,-0.00789148518116273,1.45152870962551,0.204404077648382,0.00974958633489411,3
42.65051455,-71.32417322,4,0,0,42.6505147087672,-71.3241735464896,0.00581271737168776,-0.00461102527501344,1.45156123808019,0.204404399284076,0.00741951732459285,3
42.65051454,-71.32417322,4,0,0,42.6505146754275,-71.3241734496393,0.00958908863858107,-0.00254193903178507,1.45157495796366,0.204404783726449,0.00992028603216042,3
